Review Title,Rating,Category,Comments
Best phone with notch in this price,4.0 out of 5 stars,Camera,"Worth the price, no hybrid slim slot very good point, front camera is poor only 5mp and the handset is too heavy in weight. Handy phone small size full screen."
Quality is not good,1.0 out of 5 stars,Others,"Worst phone from MI and Amazon
Touch was not good and didnot working as expected
Without touching the screen click is happening and unnecessary apps are opening"
Weste of money,1.0 out of 5 stars,Camera,Both Camera quality is bed.its price is too high and quality are lowest.
Dual 4G support,1.0 out of 5 stars,Others,I have purchsed this item and two jio sim are not working togeher. But in specification it is given that it supports dual 4g sim. What is this? Please dove my problem.
Trust or not trust as your wish,5.0 out of 5 stars,Display,This product is very nice and battery life and notch display is very awesome
Awesome fantastic jhakass. lajawaab.,5.0 out of 5 stars,Battery,It's very fantastic awesome mobile and nice sound quality. Awesome camera. Nice battery life. Awesome look but I think it's small size.
Redmi 6 pro is best in the same money range,5.0 out of 5 stars,Display,"Battery life is awesome including display is too good, fast charging makes it extremely well. Good value for money."
Not value for money,3.0 out of 5 stars,Others,"Good phone but not value for money, Prefer Redmi note 5 over this but was not in stock since last 2 months"
Good budget phone,4.0 out of 5 stars,Battery,Works pretty good for a budget phone. Battery life is amazing but camera is a let down. Finger print is very fast.
Charger not received in the box,5.0 out of 5 stars,Delivery,Charger not received in the box
Good phone,5.0 out of 5 stars,Others,Width is little less. Still good phone. Face unlock and finger print unlocks are awasome
Nice product,5.0 out of 5 stars,Others,Nice
Nice performance,5.0 out of 5 stars,Others,Redmi is always good for me and Redmi 6 pro performance is very good and good Bettry backup
and brand like MI.,5.0 out of 5 stars,Others,"Midrange phone with a notch...and brand like MI...
Aur kya chahiye"
Missing part,1.0 out of 5 stars,Others,disapointing
Not value for msny,1.0 out of 5 stars,Others,Worst phone
Powerful device,5.0 out of 5 stars,Delivery,Powerful device I love mi ...thnax Amazon for quick delivery
Ok,1.0 out of 5 stars,Others,Ok
Awesome device,5.0 out of 5 stars,Others,Top class device... No words!!!
Quality.,4.0 out of 5 stars,Others,Mobile is good also service of Amazon is better than other like paytm.
Aswasom,5.0 out of 5 stars,Camera,"I love amezon
Good packing
Good product
Camera battry good"
Awesome,5.0 out of 5 stars,Others,Sup up model in MI thank u .. low price best features available
Fully satisfied,5.0 out of 5 stars,Others,One of the best..... In the price range
Awesome phone,5.0 out of 5 stars,Display,"Phone is good Quality Dual Camera is Very Best
Full display show good dimensions"
Desh ka smartphone,5.0 out of 5 stars,Others,One of the best of my purchases
Nice look,4.0 out of 5 stars,Display,"Nice look with notch display, but sound is little bit low.."
Nice,4.0 out of 5 stars,Others,Good phone
Overall a nice phone,3.0 out of 5 stars,Others,"Sound quality is not so good
Either way the mobile best in its segment"
Smart brand.,5.0 out of 5 stars,Display,Display is best.
Waste of money compare another phone,1.0 out of 5 stars,Battery,Sometimes automatically speaker on and little hanging problem camera battery good.
Great looking,5.0 out of 5 stars,Battery,"Picture perfect camera
Great sound
Good battery life
Value for money"
Redmi 6 Pro,5.0 out of 5 stars,Display,"Best phone with notch Display ,Battery Backup, Quality Rear Camera.Value for Money."
Nice one again from xiomi...,5.0 out of 5 stars,Others,Fabulous products by fabulous xiomi
Redmi 6 pro excellent Product,5.0 out of 5 stars,Battery,this mobile awesome.... i loved it best battery life and performance...
Awesome,5.0 out of 5 stars,Others,Best to buy...i love it??
5/4.5,5.0 out of 5 stars,Battery,"Battery is good
Phone is good
Camera is good
Praformens is good"
Great product,5.0 out of 5 stars,Delivery,"Very happy with this mobile
Fast delivery got my parcel in just 22 hours"
Look like I phn x. ????????????????????,5.0 out of 5 stars,Camera,No change in camera quality. Other functions super se v uper... ????????????
Wow phone,5.0 out of 5 stars,Others,Awesome phone....all features available....m super happy with phone
Good,5.0 out of 5 stars,Battery,Sound and battery life good
Thanks to Amazon,5.0 out of 5 stars,Others,"Very very nice and budget smartphone good xiaomi

Thanks Amazon"
Awesome phone,5.0 out of 5 stars,Battery,Good mobile.. battery backup good
Very good desain,3.0 out of 5 stars,Others,Sound qulity not dolby and processor performance not ok.
Not A camera fone,4.0 out of 5 stars,Camera,Looking wise sexy but camera quality is not worth over all good
Super phone,5.0 out of 5 stars,Others,This is the best phone mi phone
Ek jakas cellphone,5.0 out of 5 stars,Others,"This cellphone is good & economical , more features available"
Ek jakas cellphone,5.0 out of 5 stars,Others,"This cellphone is good & economical , more features available"
Awesome,5.0 out of 5 stars,Others,One of best mobile compare to nokia 6 1 plus
Redmi 6 pro reviee,5.0 out of 5 stars,Display,Display Quality and battery backup is good
No dual volte,1.0 out of 5 stars,Others,I'm fan MI but No dual volte.. waste of money..
Product is good,5.0 out of 5 stars,Battery,"This product is very good, battery backup is very good,"
nice phone,5.0 out of 5 stars,Others,In this budget phone is good and Sound quality is also awesome
Best smartphone,5.0 out of 5 stars,Others,I use this phone and I like all quality
Best quality phone,5.0 out of 5 stars,Others,Best notch light weight phon.
Looking osm,4.0 out of 5 stars,Camera,"Nice product and durability also good..
Best for camera's"
Battery,5.0 out of 5 stars,Others,The Product is Bulky would have bring the weight down
Good,4.0 out of 5 stars,Camera,Camera is good
Good,4.0 out of 5 stars,Others,Good mm??????
Good,4.0 out of 5 stars,Others,I didn't get 500/- discount . Buy through HDFC bank
Gud Phone,5.0 out of 5 stars,Others,Better phone
Good,5.0 out of 5 stars,Others,Good
Nyc,5.0 out of 5 stars,Others,Good
Good,5.0 out of 5 stars,Others,Good
Np,5.0 out of 5 stars,Others,Good phone
Sound v acha nhi hai,4.0 out of 5 stars,Camera,Front camera low hai cost jyada hair 9999 take think tha
A good product from MI at an affordable price tag.,4.0 out of 5 stars,Others,Overall the product build and handling quality is good.
Love this product,5.0 out of 5 stars,Others,Wonderful phone.....
Good,3.0 out of 5 stars,Others,Low pictures clarity
Good,5.0 out of 5 stars,Others,Hello
Very good,5.0 out of 5 stars,Others,Good quality
Awesome,5.0 out of 5 stars,Delivery,Fast delivery great
Best budget phone,5.0 out of 5 stars,Others,This phone is simply awesome in this price range??
Superb,5.0 out of 5 stars,Others,Good
Good job Amazon,5.0 out of 5 stars,Others,One of the best phone under 12k.
Value for money,4.0 out of 5 stars,Others,Nice mobile in this price range
Good product,5.0 out of 5 stars,Others,Awesome product
Average,3.0 out of 5 stars,Others,Average
Excellent.,5.0 out of 5 stars,Display,Excellent mobile good display quality
Sound speaker is not working,1.0 out of 5 stars,Others,Out of 2 only 1 speaker is working from day 1
Amazing,5.0 out of 5 stars,Delivery,"Value for money...
Dislike late delivery"
Bad service for return,1.0 out of 5 stars,Others,Bad facility for replacement
I've fallen in love!,5.0 out of 5 stars,Others,I've fallen in love!
Poor,3.0 out of 5 stars,Others,Poor
Good,5.0 out of 5 stars,Others,Good
Not value of money.,1.0 out of 5 stars,Others,worst product ever. don't buy it.
Excellent,5.0 out of 5 stars,Others,"Awesome mobile, value of money..."
Gud,5.0 out of 5 stars,Others,Nice phn
battery life good,4.0 out of 5 stars,Display,notch. display better
Better bakup osm,5.0 out of 5 stars,Others,Nice products ?? . . .
waste of money,1.0 out of 5 stars,Others,waste of money
Amazing,5.0 out of 5 stars,Others,Nice and super mobile
best phone in budget,5.0 out of 5 stars,Others,awosome phone
Battery life,4.0 out of 5 stars,Others,Phone system is nice
Very nice,4.0 out of 5 stars,Others,Mobile is very nice.
Good,5.0 out of 5 stars,Others,Good Product
Must buy,5.0 out of 5 stars,Others,Great phone@
Super farfamens,3.0 out of 5 stars,Others,Nice mobaile
Amazing,5.0 out of 5 stars,Others,Mind blowing
Camera,5.0 out of 5 stars,Others,Nice product
Nice,5.0 out of 5 stars,Others,Like
.,4.0 out of 5 stars,Others,Nice
"Good, very good",5.0 out of 5 stars,Others,Good product Amazon
Marvellous,5.0 out of 5 stars,Others,It's awesome phone.
Nice product in cheap price,5.0 out of 5 stars,Others,I have fall in love
Great phone,4.0 out of 5 stars,Display,I loved the display
Munish gupta,3.0 out of 5 stars,Others,All is well
Good work.,5.0 out of 5 stars,Others,Nice phone.
Value for money,5.0 out of 5 stars,Others,Superb????????????
Bad video quality,3.0 out of 5 stars,Others,Video screen short
??,4.0 out of 5 stars,Others,??
Value for money very good,5.0 out of 5 stars,Others,Very good product
Mi is best,5.0 out of 5 stars,Others,Simply Mi ia best
Very good,5.0 out of 5 stars,Others,Very nice
Excellent,5.0 out of 5 stars,Others,Excellent
No thanks,5.0 out of 5 stars,Others,No thanks
Good phone,5.0 out of 5 stars,Battery,Battery and camera
Gud product,5.0 out of 5 stars,Others,Value for money
battery,5.0 out of 5 stars,Others,daaaaaaaam good
Super,5.0 out of 5 stars,Others,Value for money
Coustly,1.0 out of 5 stars,Others,Selfi flesh not
"Value for money, must buy",5.0 out of 5 stars,Others,Perfect
Value of money,4.0 out of 5 stars,Others,Superb product
Best,5.0 out of 5 stars,Others,Best for price
Very good product,5.0 out of 5 stars,Others,Really like it
Not ok,5.0 out of 5 stars,Others,Not ok
Good,5.0 out of 5 stars,Others,User friendly
Handy,5.0 out of 5 stars,Battery,Slow charging
Good service,5.0 out of 5 stars,Others,Good product
Good rear camera,3.0 out of 5 stars,Others,Overall good
Looking smart,4.0 out of 5 stars,Others,Good
Nice,5.0 out of 5 stars,Others,Nice
Good,4.0 out of 5 stars,Others,Good
Awesome,5.0 out of 5 stars,Others,Good
Best Phone from Redmi Series,5.0 out of 5 stars,Others,Best
super,5.0 out of 5 stars,Others,super
nice for value,5.0 out of 5 stars,Others,all is fine
Mi,4.0 out of 5 stars,Others,Nice mobile
Camera,5.0 out of 5 stars,Others,Nice mobile
Very good,5.0 out of 5 stars,Others,Yes
Great,4.0 out of 5 stars,Others,Best phone
Best mobile,5.0 out of 5 stars,Others,Too good
Worthy,4.0 out of 5 stars,Others,Good one
Case back no ritan,5.0 out of 5 stars,Others,Case back
Best Phone,5.0 out of 5 stars,Others,Mi Best
Battery,5.0 out of 5 stars,Others,Its osm
Fantastic,3.0 out of 5 stars,Others,Super
Excellent,5.0 out of 5 stars,Others,Good
Good,5.0 out of 5 stars,Others,Good
Nice,4.0 out of 5 stars,Others,Nice
Awesome,5.0 out of 5 stars,Others,Good
Nice,5.0 out of 5 stars,Others,Nice
good,5.0 out of 5 stars,Others,good
Good,5.0 out of 5 stars,Others,Good
Midil,5.0 out of 5 stars,Others,Nice
Gty,5.0 out of 5 stars,Others,Jiiy
Good,5.0 out of 5 stars,Others,Good
Superb,5.0 out of 5 stars,Others,Good
Joordaar maja aaa gya,5.0 out of 5 stars,Others,Nice
res for custmer,5.0 out of 5 stars,Others,like
Best display and advance features,5.0 out of 5 stars,Others,Nice
Nice phone,5.0 out of 5 stars,Others,Ok
Ni,1.0 out of 5 stars,Others,No
Launch display,5.0 out of 5 stars,Others,Ok
Super,5.0 out of 5 stars,Others,Good
Worst front camera on a Mi device till date.,1.0 out of 5 stars,Camera,It has a worst front camera I have ever seen on a Mi device.Its just disgusting to see such a poor front camera on a Rs.11000 device.Very much disappointed.
Look some other options guys.... It's just a crap.,1.0 out of 5 stars,Display,"Guys, just don't buy Redmi 6 pro for now atleast. Got it delivered yesterday, I have both Gold and Black Variant. Black looks nice. But wait, It's just an unpolished product. The Pinch to fill the video doesn't work in Mi Video app. The left edge remains like this ""|"" and right "")"" even this happens in Youtube. Both apps leave way too much on both sides if I let it to original. Making it a 5 inch screen display. There is No Indian City name in Time Zone, it's shown as GMT+5:30. It automatically detects the time zone as China. Why?? Has to change time, manually!!!! Then, How the heck they say that this is Made in India. While setting up the phone, the Limitless theme has Icons written in chinese. The camera app is inconsistent. The so called AI doesn't seem to be going well with SD625. My friend has RN5 pro. I think they both have same app. But his camera shows icon within screen top as if its going to shoot it with Flash or HDR. But, no this is just a crap..

So, a 5.84 screen display is just a waste if I cann't watch video to its limit. What's the purpose served by notch then and what am I supposed to do with that 5.84 inch screen???? No more notification icons in the notification bar, No more connection speed and battery percentage too, until you drop that notification panel. Stupid MI !!!!"
#Horrible experience of Redmi 6pro - Readon to know more##,1.0 out of 5 stars,Camera,"Please don't buy!!

Horrible phone from Xiaomi!!

The phone is just for people who like showing off the new iPhone notch design. The phone uses an outdated processor and lags terrible in term of performance. When we use more than 4apps at a time, the phone will get hanged and you will be forced to restart the phone. Watching videos for more than 20mins the phone gets extrmely heated and you will have to put it to stanby fir a while before resarting the use of the phone. Very bad multi-tasking. The build quality is okay, but not as good as other budget phone. A flat drop on the front screen side if hit hardly will crack the screen. The front camera is extremely poor and has been downgraded and doesn't produce even a decent quality picture. Selfie lovers, please don't even buy this phone you will get a heart ache after looking at your pix. The rear camera picture quality is average and is very unlike of xiaomi.

On the other side, the basic things like the output from the speaker phone and and the earphone are extremely poor and distorted...

The only con is a decent screen, however that is contributed by low quality video while played in amazon or netflix..

Had complained to Amazon on the above low quality issues, unfortunately Amazon is not willing to listen, they are saying technically the phone is working and hence it can't taken back.. Unfortunately, in this case Amazon has put its sellers over it buyers who are their bread and butter. Hope Amazon listens to my complaint here and takes measures to improve their service... Just to put things into perspective, an average 6-7k phone is sold at an extremely abnoxiously at a high price of 11k. You can find many better phone at this high price. Please stop buying this phone. Thanks for reading. Extremely sadened on buying this phone..."
Got a defective one and requested for a replacement,1.0 out of 5 stars,Display,"Phone is really nice and good looking.
I think I got a defective one. Because there is a blue colour appears on the side of the screen. You can see it on the image shown below. I don't know I'm the one who facing this or is it a common problem. Plz let me know if you're facing the same. Also there is some touch issues when we using keyboard for typing. The typing is not smooth and it lag a lot. But the problem appears only on keyboard. I don't know wether it's a physical problem or a software problem. I wish the replacement phone will don't have these problems. Dear MI team you should consider the blue colour problem on resmi 6 pro display. It may affect your smartphone marketing. Dear MI Please make quality product as shows in your TV Advertising. I'm waiting to get the replacement. Amazon lag in replacement policy without a hand to hand replacement. Hate to purchase from Amazon"
cant connect to camera,3.0 out of 5 stars,Camera,"good rear camera and bad front camera but software problem so cant connect to camera error comes on startup of camera!
Far better than asus zenfone max pro m1.
Now feeling the Sony camera quality.
Front camera is wow (5mp) still taking better than 13mp pics
I am using this phone as a pro photographer now
Wait for one month and you will get 1000/- off on it.
Thanks amazon
Thanks Mi India."
Worst Camera,2.0 out of 5 stars,Camera,"Front camera of this phone is like a VGA camera, having very noisy effect. I recommend that please don't buy this phone."
This mobile is defective,1.0 out of 5 stars,Display,"I say this product is very defective camera is not working proper and speed is very slow and company. Refunding my money the amazon customers care representative ,s behavior is very bad there is option of return on display the amazon company,s app but not return this product so I request to all customers be care full"
Camera not good,1.0 out of 5 stars,Others,Not good photo crirati
Not worth the money paid. Worst camera & screen size,1.0 out of 5 stars,Camera,Camera is too worst considering price of the phone. Front camera worst than other ordinary mobiles. Processor not that much fast than other 2 ghz speed mobiles of redmi. Notch is only for namesake and size sake. It's a big let down. Bought this phone considering notch option. But redmi disappointed here. Is redmi started thinking India as dump yard. Redmi Y2 is better option than this.
UNBOXING AND CAMERA SHOTS!,5.0 out of 5 stars,Display,"Hey guys this is TECHBORED! and this is unboxing and also will adding some camera shots.
-----------------------
IN THE BOX
-----------------------
1. Manuals with warranty information.
2. Charging cable.
3. 5V 2A power adapter.
4. Transparent TPU case.
5. Redmi 6 Pro.
----------
DESIGN
----------
1. The transparent case fits well and is a perfect fit. Gives nice feel in hands.
2. It comes with a notch that is small and I really liked it, At least Xiaomi has tried to cut out the bezels at this budget segment.
3. It sports a FULL HD + display with that 19:9 aspect ratio.
4. On the top of the phone there is this infrared sensor secondary noise cancellation microphone and wow there is this 3.5mm headphone jack. Always happy to see this port.
5. Now moving to the button than there is this micro USB port situated with microphone and the speaker that is loud but decent sounding speaker.
6. Redmi 6 Pro body is made up of both metal and plastic. So this is only where metal is used but on the top bottom and on the sides it is plastic. Also the sim tray is made up of plastic. Buttons are made up of metal thats nice and gives very nice feedback.
----------------------------
DUAL 4G STANDBY
----------------------------
There is DUAL SIM with dual 4G standby so you can use both sims on 4G at same time. And here is a
good thing that I liked about this and it is that it has dedicated Micro SD card slot.
---------------------------
FACE UNLOCK
---------------------------
There is also the finger print sensor that is fast enough to unlock and it also come with this face unlock that is pretty fast and I think it is very much secure. At least it will not be unlocked with your pictures.
-----------------------
CAMERA SETUP
-----------------------
1. The best thing that Xiaomi has put in to this Redmi 6 Pro and it is the same camera setup as on Redmi Note 5 Pro. So it has 12Mp with 5mp dual camera setup with aperture of 2.2 and the single LED flash in the middle. Just now I cannot tell in detail that how how camera performs but I have included some shots that are taken on Redmi 6 Pro and I think they are nice, decent and are almost the the same as on Redmi Note 5 Pro.
2. This camera setup can record upto 1080p videos at 30fps and it supports EIS and the videos are not much shaky and EIS performs well. Where as on the front is 5MP with aperture of 2.0 camera and its decent.
-------------------
HARDWARE
-------------------
1. So it is powered with the same old Snaprdragon 625 and I think think that it is good for the budget smartphones for now and it performs well on this smartphone.
2. Redmi 6 Pro is backed up with 4000mAh battery that is great.
3. Running on Android 8.1 Oreo and on the top of that there is custom MIUI 9. It will soon get a stable update of MIUI10.
4. So the Redmi 6 pro comes in 3GB RAM with 32GB internal mermory and 4GB RAM with 64 GB internal memory variants."
Battery,5.0 out of 5 stars,Battery,NYC camera and battery backup
This Time Mi cheats..,1.0 out of 5 stars,Camera,A very worst mobile in such a BiG cost paid.. in 11K rs. There are so many best mobiles are present in every company..The very disappointing thing is its front camera.in today selfie days there is a very dirty and disappointing front camra..a big loss of Rs..
A compact power pack Device with great battery and a decent camera,5.0 out of 5 stars,Display,"This device feels great in hand because it is compact enough and doesn't feels bulky at all. Thanks to its notch display and 19:9 aspect ratio.
Directly coming to its pros and cons after 1 day of use. (will update soon)
Pros
1. Design - Compact design as compared to redmi note 5 pro. 5.84"" screen looks way too compact as compared to 6"" in note 5 pro. Design 9/10
2. Rear Camera - Rear Camera is fair enough. If note 5 pro is 20 then it's 19. It captures detailed image in good lights but struggles a bit in low light. Rating 8/10.
3. Audio 9/10
4. Looks like a typical Xiaomi Device. Still ok because it is having unibody metal design 8.5/10.
5. Price - Price of this device is fair in all aspects. 10/10

Cons
The only con I felt is front camera. If the camera would be at least 12 MP shooter then this deal would be great or I must say greatest.

For people who are confused between realme 2 and redmi 6 pro I would suggest them to buy redmi 6 pro.

Pls hit like if u thought this review was helpful."
Good Phone but price HIGHER,4.0 out of 5 stars,Display,"Pros
Good Display, Better Battey Performance, Proper Phone size to fit in a wallet or hand. Excellent Build Quality looks premium.
Cons
Outdated Snapdragon 625 processor, Rear Camera above average, Front camera below average, Speaker Sound is low,
Charger Cable length is shortened.
Recommend to buy if its price is 10000"
Best phone forever.,5.0 out of 5 stars,Others,Best phone with face unlock full hd video recording and all latest features.
"Not impressive, Y2 is better",2.0 out of 5 stars,Others,"Overall Phone seems to be good with performance perspective under this range category. Do not buy if you are looking for wider screen and thinner phone. I felt Y2 would have been better choice in the same range which I already brought one for the family.

Not satisfied with the looks, screen size and it is a fatty phone."
"Very Terrible, Worst Smartphone.",1.0 out of 5 stars,Camera,"Looks is poor. Very bad Performance, Camera quality Totally Worst. Please everybody do not buy Redmi 6 pro. Go to Realme 2. I wasted my money."
Don't buy this mobile mi 6 pro,1.0 out of 5 stars,Display,"Very poor quality in front facing camera, and sound quality very poor, full display not working all apps, video clear videosnot good ,zoom photos not clear picture, rs 10999 not worth this mobile waste of many, return option not available this phone, return my phone please Amazon"
Good phone,5.0 out of 5 stars,Others,I loved the fact that Lenovo gave me such a nice transparent back cover. Very happy with phone and cover quality
Disappointed.,1.0 out of 5 stars,Battery,"Worst, don't go for it. Performance wise, camera wise, battery wise waste. Please go for any other good brand. In second time replacement also having the same front camera portrait issue, totally waste, audio quality is too low to audible."
dont buy these product. these copy of the product,1.0 out of 5 stars,Others,"Please don't buy these product.. I have 3-mobile of MI but i did not face these type of issue. mobile data getting on and off automatically same things are happening with wifi, hot-spot and bluetooth. The handset behaving like cheap quality i think its duplicate or copy of original handset."
average phone,3.0 out of 5 stars,Battery,"after using two weeks i just analyse that it is a average phone in this price catagory. price should not be more than 10,000/- for this phone.
here i analyse some pros and cons of this phone after countinious using of this phone.
PROS:-
1.screen resolution is preety good 1080 x 2280 pixels, colours contrast also very impressive.
2.two days battery backup if you not playing heavy games on it like PUBG.
3.Snapdragon 625 is old but till now it's performance is awsm ,you did not face any lag in games in low graphic setting.
4.camera pictures quality is good, also portrait mode captures the good depth effect in photos but only in Day light condition in night you will face high noice in pictures
5.front facing camera also have AI depth effect it not too much good but you can take good selfy in day light condition.
6.process optimization in this phone is good.
7.there are a little notch which increase the looks and design of phone.
CONS:-
1.one thing i hate in this phone is its notifaction bar, you will not get all notification on top bar, every time you need to scroll down the ntification bar to see app notifications. net speed meter is also not shown and no whatsapp icon notification on the top of the bar. because of the notch on the screen. Mi company should needs to fix these minaor issues by new updatess.
2.Downloading process in background is little bit slow in this phone as compare to other redmi phones.
3. video recording quality of this phone is not good.
4.only 5MP front facing camera and quality is very average. in this price segment there are many phones avilabe which have better front cameras."
A compact power pack Device with great battery and a decent camera,5.0 out of 5 stars,Display,"This device feels great in hand because it is compact enough and doesn't feels bulky at all. Thanks to its notch display and 19:9 aspect ratio.
Directly coming to its pros and cons after 1 day of use. (will update soon)
Pros
1. Design - Compact design as compared to redmi note 5 pro. 5.84"" screen looks way too compact as compared to 6"" in note 5 pro. Design 9/10
2. Rear Camera - Rear Camera is fair enough. If note 5 pro is 20 then it's 19. It captures detailed image in good lights but struggles a bit in low light. Rating 8/10.
3. Audio 9/10
4. Looks like a typical Xiaomi Device. Still ok because it is having unibody metal design 8.5/10.
5. Price - Price of this device is fair in all aspects. 10/10

Cons
The only con I felt is front camera. If the camera would be at least 12 MP shooter then this deal would be great or I must say greatest.

For people who are confused between realme 2 and redmi 6 pro I would suggest them to buy redmi 6 pro.

Pls hit like if u thought this review was helpful."
Good Phone but price HIGHER,4.0 out of 5 stars,Display,"Pros
Good Display, Better Battey Performance, Proper Phone size to fit in a wallet or hand. Excellent Build Quality looks premium.
Cons
Outdated Snapdragon 625 processor, Rear Camera above average, Front camera below average, Speaker Sound is low,
Charger Cable length is shortened.
Recommend to buy if its price is 10000"
Best phone forever.,5.0 out of 5 stars,Others,Best phone with face unlock full hd video recording and all latest features.
