Product Name,Review Title,Rating,Category,Comments
Redmi 12 5G,Good phone in budget,4.0 out of 5 stars,Battery,"Good phone in budget. Good camera,battery and performance for normal use. Call sound is very good."
Redmi 13,Nice,5.0 out of 5 stars,Others,Good phone
Redmi 14C,Fantastic,5.0 out of 5 stars,Others,"Great product, fully met my expectations...."
Redmi Note 9,Good,4.0 out of 5 stars,Others,Good
Redmi Note 9 Pro,Not good as expected,1.0 out of 5 stars,Others,Do not buy.
Redmi Note 9 Pro Max,High thinker,2.0 out of 5 stars,Others,No dual 4g if you think new mobile you buy realme 1
Redmi 9,good phone,5.0 out of 5 stars,Others,very good phone of this budget......red colour very beautiful
Redmi 9 Power,Good service,4.0 out of 5 stars,Delivery,Nice product. Delivery guy also.
Redmi Note 10,Bad camera,2.0 out of 5 stars,Camera,Bad camera quality and heating problem
Redmi Note 10 Pro,Good phone in budget,4.0 out of 5 stars,Battery,"Good phone in budget. Good camera,battery and performance for normal use. Call sound is very good."
Redmi Note 10 Pro Max,Best Mobile in this price category.,4.0 out of 5 stars,Battery,"Nice mobile, battery backup is good, camera gud, one limitation is front camera- 5 no, slim & light weight mobile"
Redmi Note 11,THIK THAK.,4.0 out of 5 stars,Display,Like everything besides display.
Redmi Note 11 Pro,Upto You,3.0 out of 5 stars,Others,"A Bit Pricey compared to the competitors.
Nice and Sleek body feels Good on Hand.
Overall Performance Is good Enough less heat compered to mi redmi devices."
Redmi Note 11 Pro+ 5G,Batytery is not good mentioned 4000mah but not good,1.0 out of 5 stars,Battery,Please dont't bye camera is good but battery back up not good
Redmi Note 12,Best phone with notch in this price,4.0 out of 5 stars,Camera,"Worth the price, no hybrid slim slot very good point, front camera is poor only 5mp and the handset is too heavy in weight. Handy phone small size full screen."
Redmi Note 12 Pro,Quality is not good,1.0 out of 5 stars,Others,"Worst phone from MI and Amazon
Touch was not good and didnot working as expected
Without touching the screen click is happening and unnecessary apps are opening"
Redmi Note 12 Pro+ 5G,Weste of money,1.0 out of 5 stars,Camera,Both Camera quality is bed.its price is too high and quality are lowest.
Redmi Note 13,Dual 4G support,1.0 out of 5 stars,Others,I have purchsed this item and two jio sim are not working togeher. But in specification it is given that it supports dual 4g sim. What is this? Please dove my problem.
Redmi Note 13 Pro,Trust or not trust as your wish,5.0 out of 5 stars,Display,This product is very nice and battery life and notch display is very awesome
Redmi Note 13 Pro+ 5G,Awesome fantastic jhakass. lajawaab.,5.0 out of 5 stars,Battery,It's very fantastic awesome mobile and nice sound quality. Awesome camera. Nice battery life. Awesome look but I think it's small size.
Redmi Note 14,Not value for money,3.0 out of 5 stars,Others,"Good phone but not value for money, Prefer Redmi note 5 over this but was not in stock since last 2 months"
Redmi Note 14 Pro,Good budget phone,4.0 out of 5 stars,Battery,Works pretty good for a budget phone. Battery life is amazing but camera is a let down. Finger print is very fast.
Redmi Note 14 Pro+ 5G,Charger not received in the box,5.0 out of 5 stars,Delivery,Charger not received in the box
Redmi 10,Good phone,5.0 out of 5 stars,Others,Width is little less. Still good phone. Face unlock and finger print unlocks are awasome
Redmi 10 Prime,Nice product,5.0 out of 5 stars,Others,Nice
Redmi 11 Prime,and brand like MI.,5.0 out of 5 stars,Others,"Midrange phone with a notch...and brand like MI...
Aur kya chahiye"
Redmi 12,Missing part,1.0 out of 5 stars,Others,disapointing
Redmi 12 5G,Not value for msny,1.0 out of 5 stars,Others,Worst phone
Redmi 13,Powerful device,5.0 out of 5 stars,Delivery,Powerful device I love mi ...thnax Amazon for quick delivery
Redmi 14C,Ok,1.0 out of 5 stars,Others,Ok
Redmi Note 9,Awesome device,5.0 out of 5 stars,Others,Top class device... No words!!!
Redmi Note 9 Pro,Quality.,4.0 out of 5 stars,Others,Mobile is good also service of Amazon is better than other like paytm.
Redmi Note 9 Pro Max,Aswasom,5.0 out of 5 stars,Camera,"I love amezon
Good packing
Good product
Camera battry good"
Redmi 9,Awesome,5.0 out of 5 stars,Others,Sup up model in MI thank u .. low price best features available
Redmi 9 Power,Fully satisfied,5.0 out of 5 stars,Others,One of the best..... In the price range
Redmi Note 10,Awesome phone,5.0 out of 5 stars,Display,"Phone is good Quality Dual Camera is Very Best
Full display show good dimensions"
Redmi Note 10 Pro,Desh ka smartphone,5.0 out of 5 stars,Others,One of the best of my purchases
Redmi Note 10 Pro Max,Nice look,4.0 out of 5 stars,Display,"Nice look with notch display, but sound is little bit low.."
Redmi Note 11,Nice,4.0 out of 5 stars,Others,Good phone
Redmi Note 11 Pro,Overall a nice phone,3.0 out of 5 stars,Others,"Sound quality is not so good
Either way the mobile best in its segment"
Redmi Note 11 Pro+ 5G,Smart brand.,5.0 out of 5 stars,Display,Display is best.
Redmi Note 12,Waste of money compare another phone,1.0 out of 5 stars,Battery,Sometimes automatically speaker on and little hanging problem camera battery good.
Redmi Note 12 Pro,Great looking,5.0 out of 5 stars,Battery,"Picture perfect camera
Great sound
Good battery life
Value for money"
Redmi Note 12 Pro+ 5G,Nice one again from xiomi...,5.0 out of 5 stars,Others,Fabulous products by fabulous xiomi
Redmi Note 13,Awesome,5.0 out of 5 stars,Others,Best to buy...i love it??
Redmi Note 13 Pro,5/4.5,5.0 out of 5 stars,Battery,"Battery is good
Phone is good
Camera is good
Praformens is good"
Redmi Note 13 Pro+ 5G,Great product,5.0 out of 5 stars,Delivery,"Very happy with this mobile
Fast delivery got my parcel in just 22 hours"
Redmi Note 14,Look like I phn x. ????????????????????,5.0 out of 5 stars,Camera,No change in camera quality. Other functions super se v uper... ????????????
Redmi Note 14 Pro,Wow phone,5.0 out of 5 stars,Others,Awesome phone....all features available....m super happy with phone
Redmi Note 14 Pro+ 5G,Good,5.0 out of 5 stars,Battery,Sound and battery life good
Redmi 10,Thanks to Amazon,5.0 out of 5 stars,Others,"Very very nice and budget smartphone good xiaomi

Thanks Amazon"
Redmi 10 Prime,Awesome phone,5.0 out of 5 stars,Battery,Good mobile.. battery backup good
Redmi 11 Prime,Very good desain,3.0 out of 5 stars,Others,Sound qulity not dolby and processor performance not ok.
Redmi 12,Not A camera fone,4.0 out of 5 stars,Camera,Looking wise sexy but camera quality is not worth over all good
Redmi 12 5G,Super phone,5.0 out of 5 stars,Others,This is the best phone mi phone
Redmi 13,Ek jakas cellphone,5.0 out of 5 stars,Others,"This cellphone is good & economical , more features available"
Redmi 14C,Ek jakas cellphone,5.0 out of 5 stars,Others,"This cellphone is good & economical , more features available"
Redmi Note 9,Awesome,5.0 out of 5 stars,Others,One of best mobile compare to nokia 6 1 plus
Redmi Note 9 Pro,No dual volte,1.0 out of 5 stars,Others,I'm fan MI but No dual volte.. waste of money..
Redmi Note 9 Pro Max,Product is good,5.0 out of 5 stars,Battery,"This product is very good, battery backup is very good,"
Redmi 9,nice phone,5.0 out of 5 stars,Others,In this budget phone is good and Sound quality is also awesome
Redmi 9 Power,Best smartphone,5.0 out of 5 stars,Others,I use this phone and I like all quality
Redmi Note 10,Best quality phone,5.0 out of 5 stars,Others,Best notch light weight phon.
Redmi Note 10 Pro,Looking osm,4.0 out of 5 stars,Camera,"Nice product and durability also good..
Best for camera's"
Redmi Note 10 Pro Max,Battery,5.0 out of 5 stars,Others,The Product is Bulky would have bring the weight down
Redmi Note 11,Good,4.0 out of 5 stars,Camera,Camera is good
Redmi Note 11 Pro,Good,4.0 out of 5 stars,Others,Good mm??????
Redmi Note 11 Pro+ 5G,Good,4.0 out of 5 stars,Others,I didn't get 500/- discount . Buy through HDFC bank
Redmi Note 12,Gud Phone,5.0 out of 5 stars,Others,Better phone
Redmi Note 12 Pro,Good,5.0 out of 5 stars,Others,Good
Redmi Note 12 Pro+ 5G,Nyc,5.0 out of 5 stars,Others,Good
Redmi Note 13,Good,5.0 out of 5 stars,Others,Good
Redmi Note 13 Pro,Np,5.0 out of 5 stars,Others,Good phone
Redmi Note 13 Pro+ 5G,Sound v acha nhi hai,4.0 out of 5 stars,Camera,Front camera low hai cost jyada hair 9999 take think tha
Redmi Note 14,A good product from MI at an affordable price tag.,4.0 out of 5 stars,Others,Overall the product build and handling quality is good.
Redmi Note 14 Pro,Love this product,5.0 out of 5 stars,Others,Wonderful phone.....
Redmi Note 14 Pro+ 5G,Good,3.0 out of 5 stars,Others,Low pictures clarity
Redmi 10,Good,5.0 out of 5 stars,Others,Hello
Redmi 10 Prime,Very good,5.0 out of 5 stars,Others,Good quality
Redmi 11 Prime,Awesome,5.0 out of 5 stars,Delivery,Fast delivery great
Redmi 12,Best budget phone,5.0 out of 5 stars,Others,This phone is simply awesome in this price range??
Redmi 12 5G,Superb,5.0 out of 5 stars,Others,Good
Redmi 13,Good job Amazon,5.0 out of 5 stars,Others,One of the best phone under 12k.
Redmi 14C,Value for money,4.0 out of 5 stars,Others,Nice mobile in this price range
Redmi Note 9,Good product,5.0 out of 5 stars,Others,Awesome product
Redmi Note 9 Pro,Average,3.0 out of 5 stars,Others,Average
Redmi Note 9 Pro Max,Excellent.,5.0 out of 5 stars,Display,Excellent mobile good display quality
Redmi 9,Sound speaker is not working,1.0 out of 5 stars,Others,Out of 2 only 1 speaker is working from day 1
Redmi 9 Power,Amazing,5.0 out of 5 stars,Delivery,"Value for money...
Dislike late delivery"
Redmi Note 10,Bad service for return,1.0 out of 5 stars,Others,Bad facility for replacement
Redmi Note 10 Pro,I've fallen in love!,5.0 out of 5 stars,Others,I've fallen in love!
Redmi Note 10 Pro Max,Poor,3.0 out of 5 stars,Others,Poor
Redmi Note 11,Good,5.0 out of 5 stars,Others,Good
Redmi Note 11 Pro,Not value of money.,1.0 out of 5 stars,Others,worst product ever. don't buy it.
Redmi Note 11 Pro+ 5G,Excellent,5.0 out of 5 stars,Others,"Awesome mobile, value of money..."
Redmi Note 12,Gud,5.0 out of 5 stars,Others,Nice phn
Redmi Note 12 Pro,battery life good,4.0 out of 5 stars,Display,notch. display better
Redmi Note 12 Pro+ 5G,Better bakup osm,5.0 out of 5 stars,Others,Nice products ?? . . .
Redmi Note 13,waste of money,1.0 out of 5 stars,Others,waste of money
Redmi Note 13 Pro,Amazing,5.0 out of 5 stars,Others,Nice and super mobile
Redmi Note 13 Pro+ 5G,best phone in budget,5.0 out of 5 stars,Others,awosome phone
Redmi Note 14,Battery life,4.0 out of 5 stars,Others,Phone system is nice
Redmi Note 14 Pro,Very nice,4.0 out of 5 stars,Others,Mobile is very nice.
Redmi Note 14 Pro+ 5G,Good,5.0 out of 5 stars,Others,Good Product
Redmi 10,Must buy,5.0 out of 5 stars,Others,Great phone@
Redmi 10 Prime,Super farfamens,3.0 out of 5 stars,Others,Nice mobaile
Redmi 11 Prime,Amazing,5.0 out of 5 stars,Others,Mind blowing
Redmi 12,Camera,5.0 out of 5 stars,Others,Nice product
Redmi 12 5G,Nice,5.0 out of 5 stars,Others,Like
Redmi 13,.,4.0 out of 5 stars,Others,Nice
Redmi 14C,"Good, very good",5.0 out of 5 stars,Others,Good product Amazon
Redmi Note 9,Marvellous,5.0 out of 5 stars,Others,It's awesome phone.
Redmi Note 9 Pro,Nice product in cheap price,5.0 out of 5 stars,Others,I have fall in love
Redmi Note 9 Pro Max,Great phone,4.0 out of 5 stars,Display,I loved the display
Redmi 9,Munish gupta,3.0 out of 5 stars,Others,All is well
Redmi 9 Power,Good work.,5.0 out of 5 stars,Others,Nice phone.
Redmi Note 10,Value for money,5.0 out of 5 stars,Others,Superb????????????
Redmi Note 10 Pro,Bad video quality,3.0 out of 5 stars,Others,Video screen short
Redmi Note 10 Pro Max,??,4.0 out of 5 stars,Others,??
Redmi Note 11,Value for money very good,5.0 out of 5 stars,Others,Very good product
Redmi Note 11 Pro,Mi is best,5.0 out of 5 stars,Others,Simply Mi ia best
Redmi Note 11 Pro+ 5G,Very good,5.0 out of 5 stars,Others,Very nice
Redmi Note 12,Excellent,5.0 out of 5 stars,Others,Excellent
Redmi Note 12 Pro,No thanks,5.0 out of 5 stars,Others,No thanks
Redmi Note 12 Pro+ 5G,Good phone,5.0 out of 5 stars,Battery,Battery and camera
Redmi Note 13,Gud product,5.0 out of 5 stars,Others,Value for money
Redmi Note 13 Pro,battery,5.0 out of 5 stars,Others,daaaaaaaam good
Redmi Note 13 Pro+ 5G,Super,5.0 out of 5 stars,Others,Value for money
Redmi Note 14,Coustly,1.0 out of 5 stars,Others,Selfi flesh not
Redmi Note 14 Pro,"Value for money, must buy",5.0 out of 5 stars,Others,Perfect
Redmi Note 14 Pro+ 5G,Value of money,4.0 out of 5 stars,Others,Superb product
Redmi 10,Best,5.0 out of 5 stars,Others,Best for price
Redmi 10 Prime,Very good product,5.0 out of 5 stars,Others,Really like it
Redmi 11 Prime,Not ok,5.0 out of 5 stars,Others,Not ok
Redmi 12,Good,5.0 out of 5 stars,Others,User friendly
Redmi 12 5G,Handy,5.0 out of 5 stars,Battery,Slow charging
Redmi 13,Good service,5.0 out of 5 stars,Others,Good product
Redmi 14C,Good rear camera,3.0 out of 5 stars,Others,Overall good
Redmi Note 9,Looking smart,4.0 out of 5 stars,Others,Good
Redmi Note 9 Pro,Nice,5.0 out of 5 stars,Others,Nice
Redmi Note 9 Pro Max,Good,4.0 out of 5 stars,Others,Good
Redmi 9,Awesome,5.0 out of 5 stars,Others,Good
Redmi 9 Power,Best Phone from Redmi Series,5.0 out of 5 stars,Others,Best
Redmi Note 10,super,5.0 out of 5 stars,Others,super
Redmi Note 10 Pro,nice for value,5.0 out of 5 stars,Others,all is fine
Redmi Note 10 Pro Max,Mi,4.0 out of 5 stars,Others,Nice mobile
Redmi Note 11,Camera,5.0 out of 5 stars,Others,Nice mobile
Redmi Note 11 Pro,Very good,5.0 out of 5 stars,Others,Yes
Redmi Note 11 Pro+ 5G,Great,4.0 out of 5 stars,Others,Best phone
Redmi Note 12,Best mobile,5.0 out of 5 stars,Others,Too good
Redmi Note 12 Pro,Worthy,4.0 out of 5 stars,Others,Good one
Redmi Note 12 Pro+ 5G,Case back no ritan,5.0 out of 5 stars,Others,Case back
Redmi Note 13,Best Phone,5.0 out of 5 stars,Others,Mi Best
Redmi Note 13 Pro,Battery,5.0 out of 5 stars,Others,Its osm
Redmi Note 13 Pro+ 5G,Fantastic,3.0 out of 5 stars,Others,Super
Redmi Note 14,Excellent,5.0 out of 5 stars,Others,Good
Redmi Note 14 Pro,Good,5.0 out of 5 stars,Others,Good
Redmi Note 14 Pro+ 5G,Nice,4.0 out of 5 stars,Others,Nice
Redmi 10,Awesome,5.0 out of 5 stars,Others,Good
Redmi 10 Prime,Nice,5.0 out of 5 stars,Others,Nice
Redmi 11 Prime,good,5.0 out of 5 stars,Others,good
Redmi 12,Good,5.0 out of 5 stars,Others,Good
Redmi 12 5G,Midil,5.0 out of 5 stars,Others,Nice
Redmi 13,Gty,5.0 out of 5 stars,Others,Jiiy
Redmi 14C,Good,5.0 out of 5 stars,Others,Good
Redmi Note 9,Superb,5.0 out of 5 stars,Others,Good
Redmi Note 9 Pro,Joordaar maja aaa gya,5.0 out of 5 stars,Others,Nice
Redmi Note 9 Pro Max,res for custmer,5.0 out of 5 stars,Others,like
Redmi 9,Best display and advance features,5.0 out of 5 stars,Others,Nice
Redmi 9 Power,Nice phone,5.0 out of 5 stars,Others,Ok
Redmi Note 10,Ni,1.0 out of 5 stars,Others,No
Redmi Note 10 Pro,Launch display,5.0 out of 5 stars,Others,Ok
Redmi Note 10 Pro Max,Super,5.0 out of 5 stars,Others,Good
Redmi Note 11,Worst front camera on a Mi device till date.,1.0 out of 5 stars,Camera,It has a worst front camera I have ever seen on a Mi device.Its just disgusting to see such a poor front camera on a Rs.11000 device.Very much disappointed.
Redmi Note 11 Pro,#Horrible experience of Redmi 6pro - Readon to know more##,1.0 out of 5 stars,Camera,"Please don't buy!!

Horrible phone from Xiaomi!!

The phone is just for people who like showing off the new iPhone notch design. The phone uses an outdated processor and lags terrible in term of performance. When we use more than 4apps at a time, the phone will get hanged and you will be forced to restart the phone. Watching videos for more than 20mins the phone gets extrmely heated and you will have to put it to stanby fir a while before resarting the use of the phone. Very bad multi-tasking. The build quality is okay, but not as good as other budget phone. A flat drop on the front screen side if hit hardly will crack the screen. The front camera is extremely poor and has been downgraded and doesn't produce even a decent quality picture. Selfie lovers, please don't even buy this phone you will get a heart ache after looking at your pix. The rear camera picture quality is average and is very unlike of xiaomi.

On the other side, the basic things like the output from the speaker phone and and the earphone are extremely poor and distorted...

The only con is a decent screen, however that is contributed by low quality video while played in amazon or netflix..

Had complained to Amazon on the above low quality issues, unfortunately Amazon is not willing to listen, they are saying technically the phone is working and hence it can't taken back.. Unfortunately, in this case Amazon has put its sellers over it buyers who are their bread and butter. Hope Amazon listens to my complaint here and takes measures to improve their service... Just to put things into perspective, an average 6-7k phone is sold at an extremely abnoxiously at a high price of 11k. You can find many better phone at this high price. Please stop buying this phone. Thanks for reading. Extremely sadened on buying this phone..."
Redmi Note 11 Pro+ 5G,Got a defective one and requested for a replacement,1.0 out of 5 stars,Display,"Phone is really nice and good looking.
I think I got a defective one. Because there is a blue colour appears on the side of the screen. You can see it on the image shown below. I don't know I'm the one who facing this or is it a common problem. Plz let me know if you're facing the same. Also there is some touch issues when we using keyboard for typing. The typing is not smooth and it lag a lot. But the problem appears only on keyboard. I don't know wether it's a physical problem or a software problem. I wish the replacement phone will don't have these problems. Dear MI team you should consider the blue colour problem on resmi 6 pro display. It may affect your smartphone marketing. Dear MI Please make quality product as shows in your TV Advertising. I'm waiting to get the replacement. Amazon lag in replacement policy without a hand to hand replacement. Hate to purchase from Amazon"
Redmi Note 12,cant connect to camera,3.0 out of 5 stars,Camera,"good rear camera and bad front camera but software problem so cant connect to camera error comes on startup of camera!
Far better than asus zenfone max pro m1.
Now feeling the Sony camera quality.
Front camera is wow (5mp) still taking better than 13mp pics
I am using this phone as a pro photographer now
Wait for one month and you will get 1000/- off on it.
Thanks amazon
Thanks Mi India."
Redmi Note 12 Pro,Worst Camera,2.0 out of 5 stars,Camera,"Front camera of this phone is like a VGA camera, having very noisy effect. I recommend that please don't buy this phone."
Redmi Note 12 Pro+ 5G,This mobile is defective,1.0 out of 5 stars,Display,"I say this product is very defective camera is not working proper and speed is very slow and company. Refunding my money the amazon customers care representative ,s behavior is very bad there is option of return on display the amazon company,s app but not return this product so I request to all customers be care full"
Redmi Note 13,Camera not good,1.0 out of 5 stars,Others,Not good photo crirati
Redmi Note 13 Pro,Not worth the money paid. Worst camera & screen size,1.0 out of 5 stars,Camera,Camera is too worst considering price of the phone. Front camera worst than other ordinary mobiles. Processor not that much fast than other 2 ghz speed mobiles of redmi. Notch is only for namesake and size sake. It's a big let down. Bought this phone considering notch option. But redmi disappointed here. Is redmi started thinking India as dump yard. Redmi Y2 is better option than this.
Redmi Note 13 Pro+ 5G,Battery,5.0 out of 5 stars,Battery,NYC camera and battery backup
Redmi Note 14,This Time Mi cheats..,1.0 out of 5 stars,Camera,A very worst mobile in such a BiG cost paid.. in 11K rs. There are so many best mobiles are present in every company..The very disappointing thing is its front camera.in today selfie days there is a very dirty and disappointing front camra..a big loss of Rs..
Redmi Note 14 Pro,Good Phone but price HIGHER,4.0 out of 5 stars,Display,"Pros
Good Display, Better Battey Performance, Proper Phone size to fit in a wallet or hand. Excellent Build Quality looks premium.
Cons
Outdated Snapdragon 625 processor, Rear Camera above average, Front camera below average, Speaker Sound is low,
Charger Cable length is shortened.
Recommend to buy if its price is 10000"
Redmi Note 14 Pro+ 5G,Best phone forever.,5.0 out of 5 stars,Others,Best phone with face unlock full hd video recording and all latest features.
Redmi 10,"Not impressive, Y2 is better",2.0 out of 5 stars,Others,"Overall Phone seems to be good with performance perspective under this range category. Do not buy if you are looking for wider screen and thinner phone. I felt Y2 would have been better choice in the same range which I already brought one for the family.

Not satisfied with the looks, screen size and it is a fatty phone."
Redmi 10 Prime,Good phone,5.0 out of 5 stars,Others,I loved the fact that Lenovo gave me such a nice transparent back cover. Very happy with phone and cover quality
Redmi 11 Prime,Disappointed.,1.0 out of 5 stars,Battery,"Worst, don't go for it. Performance wise, camera wise, battery wise waste. Please go for any other good brand. In second time replacement also having the same front camera portrait issue, totally waste, audio quality is too low to audible."
Redmi 12,dont buy these product. these copy of the product,1.0 out of 5 stars,Others,"Please don't buy these product.. I have 3-mobile of MI but i did not face these type of issue. mobile data getting on and off automatically same things are happening with wifi, hot-spot and bluetooth. The handset behaving like cheap quality i think its duplicate or copy of original handset."
Redmi 12 5G,average phone,3.0 out of 5 stars,Battery,"after using two weeks i just analyse that it is a average phone in this price catagory. price should not be more than 10,000/- for this phone.
here i analyse some pros and cons of this phone after countinious using of this phone.
PROS:-
1.screen resolution is preety good 1080 x 2280 pixels, colours contrast also very impressive.
2.two days battery backup if you not playing heavy games on it like PUBG.
3.Snapdragon 625 is old but till now it's performance is awsm ,you did not face any lag in games in low graphic setting.
4.camera pictures quality is good, also portrait mode captures the good depth effect in photos but only in Day light condition in night you will face high noice in pictures
5.front facing camera also have AI depth effect it not too much good but you can take good selfy in day light condition.
6.process optimization in this phone is good.
7.there are a little notch which increase the looks and design of phone.
CONS:-
1.one thing i hate in this phone is its notifaction bar, you will not get all notification on top bar, every time you need to scroll down the ntification bar to see app notifications. net speed meter is also not shown and no whatsapp icon notification on the top of the bar. because of the notch on the screen. Mi company should needs to fix these minaor issues by new updatess.
2.Downloading process in background is little bit slow in this phone as compare to other redmi phones.
3. video recording quality of this phone is not good.
4.only 5MP front facing camera and quality is very average. in this price segment there are many phones avilabe which have better front cameras."
Redmi 13,Good Phone but price HIGHER,4.0 out of 5 stars,Display,"Pros
Good Display, Better Battey Performance, Proper Phone size to fit in a wallet or hand. Excellent Build Quality looks premium.
Cons
Outdated Snapdragon 625 processor, Rear Camera above average, Front camera below average, Speaker Sound is low,
Charger Cable length is shortened.
Recommend to buy if its price is 10000"
Redmi 14C,Best phone forever.,5.0 out of 5 stars,Others,Best phone with face unlock full hd video recording and all latest features.
Redmi Note 9,"Not impressive, Y2 is better",2.0 out of 5 stars,Others,"Overall Phone seems to be good with performance perspective under this range category. Do not buy if you are looking for wider screen and thinner phone. I felt Y2 would have been better choice in the same range which I already brought one for the family.

Not satisfied with the looks, screen size and it is a fatty phone."
Redmi Note 9 Pro,Good phone,5.0 out of 5 stars,Others,I loved the fact that Lenovo gave me such a nice transparent back cover. Very happy with phone and cover quality
Redmi Note 9 Pro Max,Disappointed.,1.0 out of 5 stars,Battery,"Worst, don't go for it. Performance wise, camera wise, battery wise waste. Please go for any other good brand. In second time replacement also having the same front camera portrait issue, totally waste, audio quality is too low to audible."
Redmi 9,dont buy these product. these copy of the product,1.0 out of 5 stars,Others,"Please don't buy these product.. I have 3-mobile of MI but i did not face these type of issue. mobile data getting on and off automatically same things are happening with wifi, hot-spot and bluetooth. The handset behaving like cheap quality i think its duplicate or copy of original handset."
Redmi 9 Power,average phone,3.0 out of 5 stars,Battery,"after using two weeks i just analyse that it is a average phone in this price catagory. price should not be more than 10,000/- for this phone.
here i analyse some pros and cons of this phone after countinious using of this phone.
PROS:-
1.screen resolution is preety good 1080 x 2280 pixels, colours contrast also very impressive.
2.two days battery backup if you not playing heavy games on it like PUBG.
3.Snapdragon 625 is old but till now it's performance is awsm ,you did not face any lag in games in low graphic setting.
4.camera pictures quality is good, also portrait mode captures the good depth effect in photos but only in Day light condition in night you will face high noice in pictures
5.front facing camera also have AI depth effect it not too much good but you can take good selfy in day light condition.
6.process optimization in this phone is good.
7.there are a little notch which increase the looks and design of phone.
CONS:-
1.one thing i hate in this phone is its notifaction bar, you will not get all notification on top bar, every time you need to scroll down the ntification bar to see app notifications. net speed meter is also not shown and no whatsapp icon notification on the top of the bar. because of the notch on the screen. Mi company should needs to fix these minaor issues by new updatess.
2.Downloading process in background is little bit slow in this phone as compare to other redmi phones.
3. video recording quality of this phone is not good.
4.only 5MP front facing camera and quality is very average. in this price segment there are many phones avilabe which have better front cameras."
Redmi Note 10,"Bad experience ever battery% doesn't show.Low quality flash light, Sound very low..Nnot a metal",1.0 out of 5 stars,Display,"Bad experience ever battery% doesn't show.Low quality flash light, Sound very low..Nnot a metal body.cheaper metal used Only Display quality is excellent... price should be 9000-9500.Damaged charger given Amazon is cheating people"
Redmi Note 10 Pro,I am satisfying this phone,5.0 out of 5 stars,Others,Bettary so good
Redmi Note 10 Pro Max,It Hangs,1.0 out of 5 stars,Others,"After using it for 10 days, I am writing it, this phone as well MI A2 Hangs, please do not purchase."
